 "DateTime","Private Employment"
"2014-11-01 00:00:00",115654000
"2014-12-01 00:00:00",115914000
"2015-01-01 00:00:00",116001000
"2015-02-01 00:00:00",116055000
"2015-03-01 00:00:00",116008000
"2015-04-01 00:00:00",116376000
"2015-05-01 00:00:00",116769000
"2015-06-01 00:00:00",117054000
"2015-07-01 00:00:00",117362000
"2015-08-01 00:00:00",117532000
"2015-09-01 00:00:00",117842000
"2015-10-01 00:00:00",118090000
"2015-11-01 00:00:00",118199000
"2015-12-01 00:00:00",118305000
"2016-01-01 00:00:00",118438000
"2016-02-01 00:00:00",118573000
"2016-03-01 00:00:00",118864000
"2016-04-01 00:00:00",118974000
"2016-05-01 00:00:00",119045000
"2016-06-01 00:00:00",119328000
"2016-07-01 00:00:00",119570000
"2016-08-01 00:00:00",119789000
"2016-09-01 00:00:00",120060000
"2016-10-01 00:00:00",120252000
"2016-11-01 00:00:00",120534000
"2016-12-01 00:00:00",120572000
"2017-01-01 00:00:00",120522000
"2017-02-01 00:00:00",120674000
"2017-03-01 00:00:00",120853000
"2017-04-01 00:00:00",121157000
"2017-05-01 00:00:00",121321000
"2017-06-01 00:00:00",121706000
"2017-07-01 00:00:00",121923000
"2017-08-01 00:00:00",122098000
"2017-09-01 00:00:00",122261000
"2017-10-01 00:00:00",122409000
"2017-11-01 00:00:00",122645000
"2017-12-01 00:00:00",122703000
"2018-01-01 00:00:00",122654000
"2018-02-01 00:00:00",122936000
"2018-03-01 00:00:00",123030000
"2018-04-01 00:00:00",123027000
"2018-05-01 00:00:00",123344000
"2018-06-01 00:00:00",123640000
"2018-07-01 00:00:00",123790000
"2018-08-01 00:00:00",123927000
"2018-09-01 00:00:00",123976000
"2018-10-01 00:00:00",124225000
"2018-11-01 00:00:00",124341000
"2018-12-01 00:00:00",124395000
"2019-01-01 00:00:00",124450000
"2019-02-01 00:00:00",124382000
"2019-03-01 00:00:00",124370000
"2019-04-01 00:00:00",124400000
"2019-05-01 00:00:00",124362000
"2019-06-01 00:00:00",124458000
"2019-07-01 00:00:00",124474000
"2019-08-01 00:00:00",124392000
"2019-09-01 00:00:00",124384000
"2019-10-01 00:00:00",124192000
"2019-11-01 00:00:00",124125000
"2019-12-01 00:00:00",124218000
"2020-01-01 00:00:00",124051000
"2020-02-01 00:00:00",123929000
"2020-03-01 00:00:00",123855000
"2020-04-01 00:00:00",117010000
"2020-05-01 00:00:00",116294000
"2020-06-01 00:00:00",116296000
"2020-07-01 00:00:00",116046000
"2020-08-01 00:00:00",115971000
"2020-09-01 00:00:00",116270000
"2020-10-01 00:00:00",116627000
"2020-11-01 00:00:00",116807000
"2020-12-01 00:00:00",117034000
"2021-01-01 00:00:00",116965000
"2021-02-01 00:00:00",117079000
"2021-03-01 00:00:00",117308000
"2021-04-01 00:00:00",117609000
"2021-05-01 00:00:00",117929000
"2021-06-01 00:00:00",118585000
"2021-07-01 00:00:00",119523000
"2021-08-01 00:00:00",120130000
"2021-09-01 00:00:00",121042000
"2021-10-01 00:00:00",121736000
"2021-11-01 00:00:00",122426000
"2021-12-01 00:00:00",123253000
"2022-01-01 00:00:00",123606000
"2022-02-01 00:00:00",124157000
"2022-03-01 00:00:00",124444000
"2022-04-01 00:00:00",124642000
"2022-05-01 00:00:00",124830000
"2022-06-01 00:00:00",125295000
"2022-07-01 00:00:00",125753000
"2022-08-01 00:00:00",126019000
"2022-09-01 00:00:00",126281000
"2022-10-01 00:00:00",126464000
"2022-11-01 00:00:00",126676000
"2022-12-01 00:00:00",126929000
"2023-01-01 00:00:00",127048000
"2023-02-01 00:00:00",127309000
"2023-03-01 00:00:00",127451000
"2023-04-01 00:00:00",127742000
"2023-05-01 00:00:00",128009000
"2023-06-01 00:00:00",128464000
"2023-07-01 00:00:00",128776000
"2023-08-01 00:00:00",128956000
"2023-09-01 00:00:00",129045000
